"id","name","country","language","numbers_decimal","numbers_group"
"en-KY","English - Cayman Islands","CYM","en",".",","
"cs-CZ","Czech - Czechia","CZE","cs",",","."
"es-SV","Spanish - El Salvador","SLV","es",".",","
"et-EE","Estonian - Estonia","EST","et",".",","
"am-ET","Amharic - Ethiopia","ETH","am",".",","
"en-FK","English - Falkland Islands","FLK","en",".",","
"en-GI","English - Gibraltar","GIB","en",".",","
"fr-HT","French - Haiti","HTI","fr",",","."
"lv-LV","Latvian - Latvia","LVA","lv",".",","
"lt-LT","Lithuanian - Lithuania","LTU","lt",",","."
"fr-MG","French - Madagascar","MDG","fr",",","."
"dv-MV","Divehi - Maldives","MDV","dv",".",","
"ar-MR","Arabic - Mauritania","MRT","ar",".",","
"pt-MZ","Portuguese - Mozambique","MOZ","pt",",","."
"ne-NP","Nepali - Nepal","NPL","ne",".",","
"es-PA","Spanish - Panama","PAN","es",",","."
"pt-ST","Portuguese - São Tomé and Príncipe","STP","pt",",","."
"sr-RS","Serbian - Serbia","SRB","sr",",","."
"fa-TJ","Persian - Tajikistan","TJK","fa",".",","
"en-SH","English - Saint Helena","SHN","en",".",","
"nl-SR","Dutch - Suriname","SUR","nl",",","."
"tk-TM","Turkmen - Turkmenistan","TKM","tk",",","."
"zh-TW","Chinese - Taiwan","TWN","zh",".",","