Abbr.,Name,UTC offset,offset,offset_seconds
ACDT,Australian Central Daylight Savings Time,UTC+10:30,10.5,37800
ACST,Australian Central Standard Time,UTC+09:30,9.5,34200
ACT,ASEAN Common Time,UTC+08,8,28800
ADT,Atlantic Daylight Time,UTC−03,-3,-10800
AEDT,Australian Eastern Daylight Savings Time,UTC+11,11,39600
AEST,Australian Eastern Standard Time,UTC+10,10,36000
AFT,Afghanistan Time,UTC+04:30,4.5,16200
AKDT,Alaska Daylight Time,UTC−08,-8,-28800
AKST,Alaska Standard Time,UTC−09,-9,-32400
AMST,Amazon Summer Time (Brazil)[1],UTC−03,-3,-10800
AMT,Amazon Time (Brazil)[2],UTC−04,-4,-14400
ART,Argentina Time,UTC−03,-3,-10800
AST,Atlantic Standard Time,UTC−04,-4,-14400
AWDT,Australian Western Daylight Time,UTC+09,9,32400
AWST,Australian Western Standard Time,UTC+08,8,28800
AZOST,Azores Standard Time,UTC−01,-1,-3600
AZT,Azerbaijan Time,UTC+04,4,14400
BDT,Brunei Time,UTC+08,8,28800
BIOT,British Indian Ocean Time,UTC+06,6,21600
BIT,Baker Island Time,UTC−12,-12,-43200
BOT,Bolivia Time,UTC−04,-4,-14400
BRT,Brasilia Time,UTC−03,-3,-10800
BST,British Summer Time (British Standard Time from Feb 1968 to Oct 1971),UTC+01,1,3600
BTT,Bhutan Time,UTC+06,6,21600
CAT,Central Africa Time,UTC+02,2,7200
CCT,Cocos Islands Time,UTC+06:30,6.5,23400
CDT,Central Daylight Time (North America),UTC−05,-5,-18000
CEDT,Central European Daylight Time,UTC+02,2,7200
CEST,Central European Summer Time (Cf. HAEC),UTC+02,2,7200
CET,Central European Time,UTC+01,1,3600
CHADT,Chatham Daylight Time,UTC+13:45,13.75,49500
CHAST,Chatham Standard Time,UTC+12:45,12.75,45900
CHOT,Choibalsan,UTC+08,8,28800
ChST,Chamorro Standard Time,UTC+10,10,36000
CHUT,Chuuk Time,UTC+10,10,36000
CIST,Clipperton Island Standard Time,UTC−08,-8,-28800
CIT,Central Indonesia Time,UTC+08,8,28800
CKT,Cook Island Time,UTC−10,-10,-36000
CLST,Chile Summer Time,UTC−03,-3,-10800
CLT,Chile Standard Time,UTC−04,-4,-14400
COST,Colombia Summer Time,UTC−04,-4,-14400
COT,Colombia Time,UTC−05,-5,-18000
CST,Central Standard Time (North America),UTC−06,-6,-21600
CT,China time,UTC+08,8,28800
CVT,Cape Verde Time,UTC−01,-1,-3600
CWST,Central Western Standard Time (Australia) unofficial,UTC+08:45,8.75,31500
CXT,Christmas Island Time,UTC+07,7,25200
DAVT,Davis Time,UTC+07,7,25200
DDUT,Dumont d'Urville Time,UTC+10,10,36000
DFT,AIX specific equivalent of Central European Time[4],UTC+01,1,3600
EASST,Easter Island Standard Summer Time,UTC−05,-5,-18000
EAST,Easter Island Standard Time,UTC−06,-6,-21600
EAT,East Africa Time,UTC+03,3,10800
ECT,Eastern Caribbean Time (does not recognise DST),UTC−04,-4,-14400
EDT,Eastern Daylight Time (North America),UTC−04,-4,-14400
EEDT,Eastern European Daylight Time,UTC+03,3,10800
EEST,Eastern European Summer Time,UTC+03,3,10800
EET,Eastern European Time,UTC+02,2,7200
EGST,Eastern Greenland Summer Time,UTC+00,0,0
EGT,Eastern Greenland Time,UTC−01,-1,-3600
EIT,Eastern Indonesian Time,UTC+09,9,32400
EST,Eastern Standard Time (North America),UTC−05,-5,-18000
FET,Further-eastern European Time,UTC+03,3,10800
FJT,Fiji Time,UTC+12,12,43200
FKST,Falkland Islands Standard Time,UTC−03,-3,-10800
FKT,Falkland Islands Time,UTC−04,-4,-14400
FNT,Fernando de Noronha Time,UTC−02,-2,-7200
GALT,Galapagos Time,UTC−06,-6,-21600
GAMT,Gambier Islands,UTC−09,-9,-32400
GET,Georgia Standard Time,UTC+04,4,14400
GFT,French Guiana Time,UTC−03,-3,-10800
GILT,Gilbert Island Time,UTC+12,12,43200
GIT,Gambier Island Time,UTC−09,-9,-32400
GMT,Greenwich Mean Time,UTC,0,0
GST,Gulf Standard Time,UTC+04,4,14400
GYT,Guyana Time,UTC−04,-4,-14400
HADT,Hawaii-Aleutian Daylight Time,UTC−09,-9,-32400
HAEC,Heure Avancée d'Europe Centrale francised name for CEST,UTC+02,2,7200
HAST,Hawaii-Aleutian Standard Time,UTC−10,-10,-36000
HKT,Hong Kong Time,UTC+08,8,28800
HMT,Heard and McDonald Islands Time,UTC+05,5,18000
HOVT,Khovd Time,UTC+07,7,25200
HST,Hawaii Standard Time,UTC−10,-10,-36000
ICT,Indochina Time,UTC+07,7,25200
IDT,Israel Daylight Time,UTC+03,3,10800
IOT,Indian Ocean Time,UTC+03,3,10800
IRDT,Iran Daylight Time,UTC+04:30,4.5,16200
IRKT,Irkutsk Time,UTC+08,8,28800
IRST,Iran Standard Time,UTC+03:30,3.5,12600
IST,Indian Standard Time,UTC+05:30,5.5,19800
JST,Japan Standard Time,UTC+09,9,32400
KGT,Kyrgyzstan time,UTC+06,6,21600
KOST,Kosrae Time,UTC+11,11,39600
KRAT,Krasnoyarsk Time,UTC+07,7,25200
KST,Korea Standard Time,UTC+09,9,32400
LHST,Lord Howe Summer Time,UTC+11,11,39600
LINT,Line Islands Time,UTC+14,14,50400
MAGT,Magadan Time,UTC+12,12,43200
MART,Marquesas Islands Time,UTC−09:30,-9.5,-34200
MAWT,Mawson Station Time,UTC+05,5,18000
MDT,Mountain Daylight Time (North America),UTC−06,-6,-21600
MET,Middle European Time Same zone as CET,UTC+01,1,3600
MEST,Middle European Saving Time Same zone as CEST,UTC+02,2,7200
MHT,Marshall Islands,UTC+12,12,43200
MIST,Macquarie Island Station Time,UTC+11,11,39600
MIT,Marquesas Islands Time,UTC−09:30,-9.5,-34200
MMT,Myanmar Time,UTC+06:30,6.5,23400
MSK,Moscow Time,UTC+03,3,10800
MST,Mountain Standard Time (North America),UTC−07,-7,-25200
MUT,Mauritius Time,UTC+04,4,14400
MVT,Maldives Time,UTC+05,5,18000
MYT,Malaysia Time,UTC+08,8,28800
NCT,New Caledonia Time,UTC+11,11,39600
NDT,Newfoundland Daylight Time,UTC−02:30,-2.5,-9000
NFT,Norfolk Time,UTC+11:30,11.5,41400
NPT,Nepal Time,UTC+05:45,5.75,20700
NST,Newfoundland Standard Time,UTC−03:30,-3.5,-12600
NT,Newfoundland Time,UTC−03:30,-3.5,-12600
NUT,Niue Time,UTC−11,-11,-39600
NZDT,New Zealand Daylight Time,UTC+13,13,46800
NZST,New Zealand Standard Time,UTC+12,12,43200
OMST,Omsk Time,UTC+06,6,21600
ORAT,Oral Time,UTC+05,5,18000
PDT,Pacific Daylight Time (North America),UTC−07,-7,-25200
PET,Peru Time,UTC−05,-5,-18000
PETT,Kamchatka Time,UTC+12,12,43200
PGT,Papua New Guinea Time,UTC+10,10,36000
PHOT,Phoenix Island Time,UTC+13,13,46800
PKT,Pakistan Standard Time,UTC+05,5,18000
PMDT,Saint Pierre and Miquelon Daylight time,UTC−02,-2,-7200
PMST,Saint Pierre and Miquelon Standard Time,UTC−03,-3,-10800
PONT,Pohnpei Standard Time,UTC+11,11,39600
PST,Pacific Standard Time (North America),UTC−08,-8,-28800
PYST,Paraguay Summer Time (South America)[6],UTC−03,-3,-10800
PYT,Paraguay Time (South America)[7],UTC−04,-4,-14400
RET,Réunion Time,UTC+04,4,14400
ROTT,Rothera Research Station Time,UTC−03,-3,-10800
SAKT,Sakhalin Island time,UTC+11,11,39600
SAMT,Samara Time,UTC+04,4,14400
SAST,South African Standard Time,UTC+02,2,7200
SBT,Solomon Islands Time,UTC+11,11,39600
SCT,Seychelles Time,UTC+04,4,14400
SGT,Singapore Time,UTC+08,8,28800
SLST,Sri Lanka Time,UTC+05:30,5.5,19800
SRET,Srednekolymsk Time,UTC+11,11,39600
SRT,Suriname Time,UTC−03,-3,-10800
SST,Samoa Standard Time,UTC−11,-11,-39600
SYOT,Showa Station Time,UTC+03,3,10800
TAHT,Tahiti Time,UTC−10,-10,-36000
THA,Thailand Standard Time,UTC+07,7,25200
TFT,Indian/Kerguelen,UTC+05,5,18000
TJT,Tajikistan Time,UTC+05,5,18000
TKT,Tokelau Time,UTC+13,13,46800
TLT,Timor Leste Time,UTC+09,9,32400
TMT,Turkmenistan Time,UTC+05,5,18000
TOT,Tonga Time,UTC+13,13,46800
TVT,Tuvalu Time,UTC+12,12,43200
UCT,Coordinated Universal Time,UTC,0,0
ULAT,Ulaanbaatar Time,UTC+08,8,28800
USZ1,Kaliningrad Time,UTC+02,2,7200
UTC,Coordinated Universal Time,UTC,0,0
UYST,Uruguay Summer Time,UTC−02,-2,-7200
UYT,Uruguay Standard Time,UTC−03,-3,-10800
UZT,Uzbekistan Time,UTC+05,5,18000
VET,Venezuelan Standard Time,UTC−04:30,-4.5,-16200
VLAT,Vladivostok Time,UTC+10,10,36000
VOLT,Volgograd Time,UTC+04,4,14400
VOST,Vostok Station Time,UTC+06,6,21600
VUT,Vanuatu Time,UTC+11,11,39600
WAKT,Wake Island Time,UTC+12,12,43200
WAST,West Africa Summer Time,UTC+02,2,7200
WAT,West Africa Time,UTC+01,1,3600
WEDT,Western European Daylight Time,UTC+01,1,3600
WEST,Western European Summer Time,UTC+01,1,3600
WET,Western European Time,UTC,0,0
WIT,Western Indonesian Time,UTC+07,7,25200
WST,Western Standard Time,UTC+08,8,28800
YAKT,Yakutsk Time,UTC+09,9,32400
YEKT,Yekaterinburg Time,UTC+05,5,18000
Z,Zulu Time (Coordinated Universal Time),UTC,0,0
